instance_id,capacity_constraint,best_capacity_achieved,pct_of_capacity
knapsack_n100_seed20251020,,25554.0,
knapsack_n100_seed20251023,,39931.0,
knapsack_n100_seed20251026,,45613.0,
knapsack_n100_seed20251120,,18691.0,
knapsack_n100_seed20251123,,33418.0,
knapsack_n100_seed20251126,,43669.0,
knapsack_n100_seed20251220,,2064.0,
knapsack_n100_seed20251223,,1332.0,
knapsack_n100_seed20251226,,2194.0,
knapsack_n250_seed20251021,,63432.0,
knapsack_n250_seed20251024,,103886.0,
knapsack_n250_seed20251027,,121865.0,
knapsack_n250_seed20251121,,41378.0,
knapsack_n250_seed20251124,,84789.0,
knapsack_n250_seed20251127,,113622.0,
knapsack_n250_seed20251221,,2125.0,
knapsack_n250_seed20251224,,3954.0,
knapsack_n250_seed20251227,,1644.0,
knapsack_n500_seed20251022,,117410.0,
knapsack_n500_seed20251025,,205859.0,
knapsack_n500_seed20251028,,237590.0,
knapsack_n500_seed20251122,,87393.0,
knapsack_n500_seed20251125,,168628.0,
knapsack_n500_seed20251128,,226674.0,
knapsack_n500_seed20251222,,7097.0,
knapsack_n500_seed20251225,,7252.0,
knapsack_n500_seed20251228,,7445.0,
