id,weight,value
0,206,542
1,192,299
2,414,465
3,252,330
4,370,365
5,162,85
6,218,102
7,268,309
8,374,345
9,177,285
10,438,312
11,200,447
12,232,861
13,303,546
14,93,636
15,282,639
16,262,567
17,282,169
18,137,49
19,283,422
20,209,592
21,234,218
22,104,266
23,100,731
24,177,565
25,229,362
26,374,375
27,342,690
28,304,422
29,211,464
30,196,581
31,237,389
32,95,585
33,225,725
34,157,513
35,265,381
36,287,352
37,315,359
38,293,594
39,303,359
40,268,538
41,391,894
42,450,557
43,346,545
44,172,262
45,216,407
46,312,311
47,459,664
48,404,390
49,377,736
50,262,490
51,293,557
52,229,600
53,83,439
54,286,844
55,421,202
56,238,622
57,334,533
58,336,546
59,330,569
60,246,608
61,231,513
62,207,281
63,339,416
64,367,510
65,212,345
66,187,497
67,288,503
68,176,607
69,116,336
70,252,671
71,123,198
72,168,566
73,209,441
74,26,362
75,102,461
76,319,667
77,217,363
78,328,478
79,164,537
80,192,835
81,99,756
82,367,364
83,223,394
84,326,609
85,223,314
86,160,414
87,220,401
88,368,309
89,293,532
90,322,499
91,291,425
92,125,466
93,320,493
94,295,607
95,330,738
96,195,764
97,217,567
98,109,500
99,248,582
