id,weight,value
0,65,675
1,482,618
2,114,330
3,191,525
4,91,318
5,97,603
6,154,816
7,84,604
8,438,757
9,288,991
10,212,651
11,495,352
12,414,576
13,208,614
14,233,861
15,180,571
16,162,684
17,217,182
18,182,416
19,354,237
20,183,885
21,235,501
22,406,97
23,105,267
24,374,549
25,135,309
26,229,883
27,263,249
28,86,578
29,493,63
30,308,77
31,403,937
32,64,586
33,469,570
34,440,124
35,71,643
36,253,197
37,223,336
38,389,577
39,208,490
40,16,822
41,57,895
42,399,232
43,55,139
44,159,686
45,180,587
46,372,775
47,127,595
48,200,837
49,452,685
50,158,229
51,481,794
52,369,186
53,89,644
54,120,18
55,389,684
56,279,351
57,184,552
58,217,8
59,30,804
60,230,700
61,30,60
62,138,32
63,473,182
64,412,266
65,166,912
66,275,385
67,128,514
68,441,566
69,317,509
70,147,166
71,252,65
72,450,70
73,496,28
74,496,557
75,472,336
76,95,351
77,180,600
78,288,53
79,57,919
80,338,64
81,235,694
82,28,543
83,388,848
84,437,541
85,418,52
86,481,267
87,312,5
88,78,617
89,386,459
90,247,798
91,144,697
92,19,748
93,154,136
94,188,909
95,186,548
96,227,831
97,16,136
98,319,138
99,120,9
