id,weight,value
0,18,9
1,4,3
2,4,3
3,6,3
4,125,15
5,48,2
6,10,613
7,2,2
8,2,2
9,2,4
10,5,121
11,2,10
12,4,23
13,2,2
14,5,5
15,3,2
16,2,3
17,3,2
18,16,2
19,18,48
20,3,4
21,16,2
22,24,2
23,4,5
24,19,3
25,2,2
26,4,33
27,43,94
28,4,2
29,2,4
30,2,4
31,33,2
32,8,2
33,2,48
34,117,3
35,2,9
36,2,2
37,2,13
38,3,3
39,2,32
40,2,7
41,2,2
42,4,35
43,31,2
44,8,3
45,2,16
46,2,3
47,20,3
48,2,3
49,6,4
50,8,9
51,3,2
52,10,6
53,4,2
54,11,18
55,2,2
56,5,2
57,19,2
58,8,3
59,2,3
60,10,3
61,64,2
62,3,2
63,2,6
64,2,2
65,2,2
66,2,4
67,3,4
68,2,2
69,4,10
70,2,33
71,2,2
72,2,5
73,2,2
74,2,335
75,2,6
76,2,5
77,17,2
78,2,3
79,2,2
80,10,3
81,2,2
82,4,14
83,2,4
84,2,2
85,3,2
86,54,2
87,8,2
88,87,16
89,2,4
90,37,2
91,2,11
92,2,2
93,6,3
94,5,2
95,27,2
96,2,2
97,2,2
98,5,2
99,4,3
100,5,13
101,58,105
102,4,2
103,24,2
104,5,14
105,2,13
106,5,3
107,2,6
108,2,3
109,90,2
110,13,5
111,2,2
112,4,8
113,5,3
114,2,4
115,27,4
116,2,3
117,2,3
118,3,4
119,2,4
120,5,2
121,2,2
122,2,2
123,2,14
124,2,16
125,2,2
126,3,10
127,123,2
128,3,2
129,2,5
130,2,16
131,19,106
132,3,2
133,9,2
134,8,2
135,4,4
136,2,2
137,6,2
138,5,2
139,5,2
140,9,2
141,2,3
142,2,11
143,5,2
144,2,2
145,334,7
146,163,8
147,17,10
148,2,6
149,2,2
150,3,2
151,3,2
152,2,3
153,15,5
154,3,2
155,2,6
156,2,2
157,2,6
158,133,26
159,2,2
160,4,5
161,4,3
162,4,4
163,2,2
164,2,14
165,3,4
166,2,2
167,7,2
168,2,12
169,9,2
170,17,2
171,7,3
172,2,7
173,2,2
174,4,3
175,2,47
176,3,11
177,2,8
178,12,2
179,2,19
180,3,2
181,45,6
182,18,2
183,2,2
184,7,241
185,3,6
186,2,275
187,5,2
188,2,2
189,2,5
190,2,3
191,37,44
192,3,5
193,3,3
194,2,62
195,2,2
196,2,2
197,2,2
198,2,2
199,30,9
200,2,2
201,2,2
202,3,3
203,75,2
204,7,2
205,2,2
206,5,13
207,2,10
208,3,7
209,4,29
210,15,4
211,2,2
212,3,8
213,3,4
214,3,12
215,2,6
216,56,2
217,11,2
218,3,3
219,2,2
220,2,4
221,2,3
222,3,2
223,7,2
224,13,2
225,2,3
226,2,3
227,2,2
228,3,28
229,2,3
230,2,4
231,3,4
232,3,2
233,2,7
234,2,44
235,5,2
236,2,3
237,2,2
238,2,2
239,4,2
240,5,8
241,2,2
242,6,8
243,2,2
244,4,499
245,2,2
246,3,2
247,6,11
248,2,6
249,2,2
250,22,2
251,2,3
252,2,5
253,4,2
254,2,2
255,2,2
256,11,2
257,2,30
258,2,222
259,4,11
260,5,3
261,6,8
262,2,3
263,2,3
264,17,4
265,2,2
266,2,2
267,2,4
268,2,2
269,8,3
270,2,3
271,2,6
272,23,5
273,8,6
274,3,3
275,2,2
276,3,2
277,2,2
278,4,2
279,4,4
280,3,18
281,26,18
282,4,3
283,4,3
284,22,7
285,5,14
286,2,5
287,2,10
288,2,3
289,15,7
290,6,3
291,23,200
292,2,2
293,5,2
294,2,3
295,2,2
296,12,38
297,2,2
298,2,11
299,5,3
300,2,2
301,2,2
302,12,109
303,5,4
304,2,3
305,7,2
306,2,2
307,8,4
308,38,8
309,2,4
310,5,32
311,6,2
312,2,2
313,3,3
314,2,3
315,16,2
316,7,2
317,2,11
318,2,2
319,2,3
320,2,3
321,2,3
322,2,2
323,2,10
324,3,2
325,2,2
326,7,24
327,203,3
328,2,2
329,9,2
330,2,2
331,10,2
332,2,2
333,4,2
334,2,4
335,2,4
336,2,2
337,4,4
338,11,10
339,2,2
340,2,28
341,2,3
342,2,6
343,83,4
344,500,2
345,2,2
346,2,2
347,2,2
348,2,4
349,2,2
350,10,4
351,2,2
352,2,5
353,2,2
354,22,74
355,6,7
356,7,65
357,2,2
358,2,2
359,2,4
360,3,2
361,55,2
362,7,3
363,6,3
364,84,6
365,8,3
366,3,4
367,13,5
368,3,6
369,2,29
370,2,97
371,2,5
372,2,4
373,2,2
374,3,20
375,56,9
376,31,2
377,4,16
378,155,11
379,5,15
380,2,121
381,11,3
382,2,2
383,2,13
384,3,2
385,10,36
386,3,4
387,2,5
388,2,2
389,3,2
390,4,11
391,6,2
392,2,2
393,4,4
394,37,3
395,178,17
396,3,3
397,3,6
398,2,13
399,2,2
400,2,9
401,3,70
402,4,2
403,4,2
404,29,3
405,6,2
406,3,2
407,2,2
408,2,6
409,13,6
410,9,2
411,2,3
412,2,2
413,28,7
414,4,13
415,13,2
416,3,4
417,5,2
418,2,2
419,7,2
420,5,2
421,2,2
422,2,2
423,2,4
424,3,7
425,2,1000
426,3,2
427,4,3
428,3,2
429,16,2
430,4,28
431,2,51
432,11,5
433,8,2
434,161,6
435,7,5
436,2,2
437,2,6
438,2,5
439,4,2
440,3,4
441,2,3
442,6,4
443,2,2
444,7,2
445,2,2
446,10,2
447,2,2
448,2,2
449,9,72
450,2,10
